Event ID#,Year,Month,Day,State,City,Group,Unaffiliated Individual,Claim,Successful,Suicide,Type,Target,Weapon,Casualties,Property Damage,Kidnapping,Ransom Demand,Dominant Ideology
197001190004,1970,1,19,New Jersey,Jersey City,White supremacists/nationalists,0,0,1,0,Facility/Infrastructure Attack,Violent Political Party,Incendiary,0,1,0,0,Extreme Right Wing
197001220002,1970,1,22,Nebraska,South Sioux City,Strikers,0,0,1,0,Bombing/Explosion,Private Citizens & Property,Explosives,0,1,0,0,Single Issue
197001250001,1970,1,25,Mississippi,West Point,White supremacists/nationalists,0,0,1,0,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,0,1,0,0,Extreme Right Wing
197001250002,1970,1,25,New York,New York City,Black Nationalists,0,0,1,0,Armed Assault,Police,Firearms,1,1,0,0,Extreme Left Wing
197001260001,1970,1,26,Mississippi,West Point,Black Nationalists,0,0,1,0,Bombing/Explosion,Government (General),Explosives,0,1,0,0,Extreme Left Wing
197001260003,1970,1,26,New York,New York City,Black Nationalists,0,0,1,0,Armed Assault,Police,Firearms,0,0,0,0,Extreme Left Wing
197001270002,1970,1,27,Ohio,Norwalk,Left-Wing Militants,0,0,1,0,Facility/Infrastructure Attack,Government (General),Incendiary,0,1,0,0,Extreme Left Wing
197001280002,1970,1,28,Washington,Seattle,White supremacists/nationalists,0,0,1,0,Bombing/Explosion,Religious Figures/Institutions,Explosives,0,1,0,0,Extreme Right Wing
197001300001,1970,1,30,Nebraska,South Sioux City,Strikers,0,0,1,0,Bombing/Explosion,Unknown,Explosives,0,1,0,0,Single Issue
197001300002,1970,1,30,Nebraska,South Sioux City,Strikers,0,0,1,0,Bombing/Explosion,Business,Explosives,0,1,0,0,Single Issue
197001300003,1970,1,30,Florida,Coral Gables,Student Radicals,0,0,1,0,Facility/Infrastructure Attack,Military,Incendiary,0,1,0,0,Extreme Left Wing
197002010001,1970,2,1,Oregon,Portland,Left-Wing Militants,0,0,1,0,Facility/Infrastructure Attack,Government (General),Incendiary,0,1,0,0,Extreme Left Wing
197002010002,1970,2,1,Illinois,Cairo,Black Nationalists,0,0,1,0,Armed Assault,Police,Firearms,0,1,0,0,Extreme Left Wing
197002040001,1970,2,4,Ohio,Akron,Strikers,0,0,1,0,Bombing/Explosion,Private Citizens & Property,Explosives,0,1,0,0,Single Issue
197002060001,1970,2,6,Colorado,Denver,Black Nationalists,0,0,1,0,Bombing/Explosion,Transportation,Explosives,0,1,0,0,Extreme Left Wing
197002060002,1970,2,6,Washington,Seattle,White supremacists/nationalists,0,0,1,0,Bombing/Explosion,Government (General),Explosives,0,1,0,0,Extreme Right Wing
197002060003,1970,2,6,Washington,Seattle,White supremacists/nationalists,0,0,1,0,Bombing/Explosion,Religious Figures/Institutions,Explosives,0,1,0,0,Extreme Right Wing
197002060004,1970,2,6,Puerto Rico,Dorado,Armed Revolutionary Independence Movement (MIRA),0,1,1,0,Facility/Infrastructure Attack,Government (General),Incendiary,0,0,0,0,Ethnonationalist-Separatist
197002060005,1970,2,6,Puerto Rico,Rio Piedras,Armed Revolutionary Independence Movement (MIRA),0,1,1,0,Facility/Infrastructure Attack,Utilities,Incendiary,0,0,0,0,Ethnonationalist-Separatist
197002060006,1970,2,6,Puerto Rico,Carolina,Armed Revolutionary Independence Movement (MIRA),0,1,1,0,Facility/Infrastructure Attack,Business,Incendiary,0,0,0,0,Ethnonationalist-Separatist
197002060007,1970,2,6,Massachusetts,Boston,Student Radicals,0,0,1,0,Facility/Infrastructure Attack,Military,Incendiary,0,1,0,0,Extreme Left Wing
197002070003,1970,2,7,Wisconsin,Whitewater,Student Radicals,0,0,1,0,Facility/Infrastructure Attack,Educational Institution,Incendiary,0,1,0,0,Extreme Left Wing
197002080001,1970,2,8,New York,New York City,Armed Revolutionary Independence Movement (MIRA),0,1,1,0,Bombing/Explosion,Business,Explosives,0,1,0,0,Ethnonationalist-Separatist
197002080002,1970,2,8,New York,New York City,Armed Revolutionary Independence Movement (MIRA),0,1,1,0,Bombing/Explosion,Business,Explosives,0,1,0,0,Ethnonationalist-Separatist
197002090003,1970,2,9,New York,New York City,Armed Revolutionary Independence Movement (MIRA),0,1,0,0,Bombing/Explosion,Business,Explosives,0,0,0,0,Ethnonationalist-Separatist
197002090004,1970,2,9,Ohio,Batavia,Strikers,0,0,1,0,Bombing/Explosion,Private Citizens & Property,Explosives,0,1,0,0,Single Issue
197002110001,1970,2,11,Michigan,Ypsilanti,Student Radicals,0,0,1,0,Facility/Infrastructure Attack,Educational Institution,Incendiary,0,1,0,0,Extreme Left Wing
197002130003,1970,2,13,California,Berkeley,Black Nationalists,0,0,1,0,Bombing/Explosion,Police,Explosives,1,1,0,0,Extreme Left Wing
197002150001,1970,2,15,New York,New York City,Left-Wing Militants,0,0,1,0,Bombing/Explosion,Business,Explosives,0,1,0,0,Extreme Left Wing
197002150002,1970,2,15,Oregon,Eugene,Student Radicals,0,0,1,0,Facility/Infrastructure Attack,Military,Incendiary,1,1,0,0,Extreme Left Wing
197002160004,1970,2,16,California,San Francisco,Left-Wing Militants,0,0,0,0,Armed Assault,Police,Firearms,0,0,0,0,Extreme Left Wing
197002170003,1970,2,17,Louisiana,Covington,White supremacists/nationalists,0,0,1,0,Bombing/Explosion,Educational Institution,Explosives,0,1,0,0,Extreme Right Wing
197002170004,1970,2,17,Washington,Seattle,Student Radicals,0,0,0,0,Bombing/Explosion,Military,Explosives,0,0,0,0,Extreme Left Wing
197002180002,1970,2,18,Ohio,Cleveland,Black Nationalists,0,0,1,0,Bombing/Explosion,Police,Explosives,0,1,0,0,Extreme Left Wing
197002180003,1970,2,18,California,Vallejo,Black Nationalists,0,0,1,0,Bombing/Explosion,Police,Explosives,0,0,0,0,Extreme Left Wing
197002200001,1970,2,20,Connecticut,Hartford,Left-Wing Militants,0,1,1,0,Facility/Infrastructure Attack,Government (General),Incendiary,0,1,0,0,Extreme Left Wing
197002200002,1970,2,20,New York,New York City,Student Radicals,0,0,1,0,Facility/Infrastructure Attack,Educational Institution,Incendiary,0,1,0,0,Extreme Left Wing
197002200003,1970,2,20,Washington,Seattle,Student Radicals,0,0,1,0,Bombing/Explosion,Educational Institution,Explosives,0,1,0,0,Extreme Left Wing
197002210003,1970,2,21,New York,New York City,Left-Wing Militants,0,0,0,0,Facility/Infrastructure Attack,Police,Incendiary,0,0,0,0,Extreme Left Wing
197002210004,1970,2,21,New York,New York City,Left-Wing Militants,0,0,1,0,Facility/Infrastructure Attack,Military,Incendiary,0,1,0,0,Extreme Left Wing
197002210005,1970,2,21,New York,New York City,"Weather Underground, Weathermen",0,1,1,0,Bombing/Explosion,Private Citizens & Property,Explosives,0,1,0,0,Extreme Left Wing
197002210006,1970,2,21,Colorado,Denver,Black Nationalists,0,0,1,0,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,0,0,0,0,Extreme Left Wing
197002220001,1970,2,22,New York,Ithaca,White supremacists/nationalists,0,0,1,0,Facility/Infrastructure Attack,Educational Institution,Incendiary,0,1,0,0,Extreme Right Wing
197002220002,1970,2,22,Wisconsin,Prairie du Sac,New Year's Gang,0,0,0,0,Bombing/Explosion,Utilities,Explosives,0,0,0,0,Single Issue
197002230001,1970,2,23,Nebraska,South Sioux City,Strikers,0,0,1,0,Bombing/Explosion,Utilities,Explosives,0,0,0,0,Single Issue
197002230002,1970,2,23,Nebraska,South Sioux City,Strikers,0,0,1,0,Bombing/Explosion,Utilities,Explosives,0,0,0,0,Single Issue
197002230003,1970,2,23,Nebraska,South Sioux City,Strikers,0,0,1,0,Bombing/Explosion,Utilities,Explosives,0,0,0,0,Single Issue
197002230004,1970,2,23,Nebraska,South Sioux City,Strikers,0,0,1,0,Bombing/Explosion,Utilities,Explosives,0,0,0,0,Single Issue
197002230005,1970,2,23,Arizona,Tucson,Left-Wing Militants,0,0,1,0,Bombing/Explosion,Military,Explosives,0,1,0,0,Extreme Left Wing
197002240002,1970,2,24,Colorado,Denver,White supremacists/nationalists,0,0,1,0,Bombing/Explosion,Private Citizens & Property,Explosives,0,1,0,0,Extreme Right Wing
197002240003,1970,2,24,Illinois,Champaign,Student Radicals,0,0,1,0,Facility/Infrastructure Attack,Military,Incendiary,0,1,0,0,Extreme Left Wing
197002270001,1970,2,27,Colorado,Boulder,Student Radicals,0,0,1,0,Bombing/Explosion,Educational Institution,Explosives,0,1,0,0,Extreme Left Wing
197003010005,1970,3,1,Colorado,Boulder,Student Radicals,0,0,1,0,Bombing/Explosion,Military,Explosives,0,1,0,0,Extreme Left Wing
197003010006,1970,3,1,Colorado,Colorado Springs,Left-Wing Militants,0,0,1,0,Facility/Infrastructure Attack,Military,Incendiary,0,1,0,0,Extreme Left Wing
197003010007,1970,3,1,Colorado,Boulder,Student Radicals,0,0,1,0,Facility/Infrastructure Attack,Police,Incendiary,0,1,0,0,Extreme Left Wing
197003010008,1970,3,1,Colorado,Boulder,Left-Wing Militants,0,0,1,0,Bombing/Explosion,Police,Explosives,0,1,0,0,Extreme Left Wing
197003020001,1970,3,2,Ohio,Cleveland,Black Nationalists,0,0,1,0,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,0,1,0,0,Extreme Left Wing
197003030002,1970,3,3,Colorado,Denver,Left-Wing Militants,0,0,1,0,Bombing/Explosion,Private Citizens & Property,Explosives,0,1,0,0,Extreme Left Wing
197003030003,1970,3,3,Washington,Seattle,Student Radicals,0,0,1,0,Bombing/Explosion,Government (General),Explosives,0,1,0,0,Extreme Left Wing
197003040001,1970,3,4,California,Oakland,Left-Wing Militants,0,0,0,0,Bombing/Explosion,Military,Explosives,0,0,0,0,Extreme Left Wing
197003040003,1970,3,4,Colorado,Denver,Left-Wing Militants,0,0,1,0,Bombing/Explosion,Private Citizens & Property,Explosives,0,1,0,0,Extreme Left Wing
197003050001,1970,3,5,Washington,Seattle,Left-Wing Militants,0,0,1,0,Bombing/Explosion,Government (General),Explosives,0,1,0,0,Extreme Left Wing
197003050002,1970,3,5,Colorado,Denver,Left-Wing Militants,0,0,1,0,Bombing/Explosion,Private Citizens & Property,Explosives,0,1,0,0,Extreme Left Wing
197003050003,1970,3,5,Puerto Rico,San Juan,Armed Revolutionary Independence Movement (MIRA),0,0,1,0,Assassination,Military,Firearms,1,0,0,0,Ethnonationalist-Separatist
197003060003,1970,3,6,Michigan,Detroit,"Weather Underground, Weathermen",0,0,0,0,Bombing/Explosion,Police,Explosives,0,0,0,0,Extreme Left Wing
197003060004,1970,3,6,Michigan,Detroit,"Weather Underground, Weathermen",0,0,0,0,Bombing/Explosion,Police,Explosives,0,0,0,0,Extreme Left Wing
197003090003,1970,3,9,Alabama,Ashville,Ku Klux Klan,0,0,1,0,Facility/Infrastructure Attack,Private Citizens & Property,Chemical,0,1,0,0,Extreme Right Wing
197003090004,1970,3,9,Connecticut,Bridgeport,White supremacists/nationalists,0,0,1,0,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,0,1,0,0,Extreme Right Wing
197003090005,1970,3,9,New Mexico,Albuquerque,White supremacists/nationalists,0,0,0,0,Bombing/Explosion,Military,Explosives,0,0,0,0,Extreme Right Wing
197003090006,1970,3,9,Maryland,Bel Air,Black Nationalists,0,0,0,0,Bombing/Explosion,Unknown,Explosives,1,1,0,0,Extreme Left Wing
197003100002,1970,3,10,Maryland,Cambridge,Left-Wing Militants,0,0,1,0,Bombing/Explosion,Government (General),Explosives,0,1,0,0,Extreme Left Wing
197003100003,1970,3,10,California,San Francisco,Student Radicals,0,0,0,0,Facility/Infrastructure Attack,Business,Incendiary,0,0,0,0,Extreme Left Wing
197003110002,1970,3,11,Illinois,Champaign,Student Radicals,0,0,1,0,Facility/Infrastructure Attack,Military,Incendiary,0,1,0,0,Extreme Left Wing
197003120001,1970,3,12,New York,New York City,Revolutionary Force 9,0,0,1,0,Bombing/Explosion,Business,Explosives,0,1,0,0,Extreme Left Wing
197003120002,1970,3,12,New York,New York City,Revolutionary Force 9,0,0,1,0,Bombing/Explosion,Business,Explosives,0,1,0,0,Extreme Left Wing
197003120003,1970,3,12,Illinois,Chicago,Black Nationalists,0,0,1,0,Bombing/Explosion,Police,Explosives,0,1,0,0,Extreme Left Wing
197003120004,1970,3,12,Illinois,Chicago,Black Nationalists,0,0,1,0,Bombing/Explosion,Police,Explosives,0,1,0,0,Extreme Left Wing
197003120005,1970,3,12,New York,New York City,Revolutionary Force 9,0,1,1,0,Bombing/Explosion,Business,Explosives,0,1,0,0,Extreme Left Wing
197003130001,1970,3,13,Wisconsin,Appleton,Student Radicals,0,0,1,0,Facility/Infrastructure Attack,Military,Incendiary,0,1,0,0,Extreme Left Wing
197003130002,1970,3,13,Wisconsin,Appleton,Student Radicals,0,0,1,0,Facility/Infrastructure Attack,Educational Institution,Incendiary,0,1,0,0,Extreme Left Wing
197003140003,1970,3,14,New York,New York City,Left-Wing Militants,0,0,0,0,Bombing/Explosion,Military,Explosives,0,0,0,0,Extreme Left Wing
197003140004,1970,3,14,California,Long Beach,Left-Wing Militants,0,0,1,0,Hijacking,Military,Firearms,0,0,1,0,Extreme Left Wing
197003150001,1970,3,15,Puerto Rico,San Juan,Puerto Rican Nationalists,0,0,1,0,Bombing/Explosion,Business,Explosives,0,1,0,0,Ethnonationalist-Separatist
197003160001,1970,3,16,California,San Bernardino,White supremacists/nationalists,0,0,1,0,Facility/Infrastructure Attack,Government (General),Incendiary,1,1,0,0,Extreme Right Wing
197003170002,1970,3,17,California,Los Angeles,Chicano Liberation Front,0,1,1,0,Bombing/Explosion,Educational Institution,Explosives,0,1,0,0,Ethnonationalist-Separatist
197003200001,1970,3,20,Oregon,Portland,White supremacists/nationalists,0,0,0,0,Bombing/Explosion,Military,Incendiary,0,0,0,0,Extreme Right Wing
197003200002,1970,3,20,Michigan,Detroit,White supremacists/nationalists,0,0,1,0,Assassination,Private Citizens & Property,Firearms,1,0,0,0,Extreme Right Wing
197003210001,1970,3,21,District of Columbia,Washington,Left-Wing Militants,0,0,0,0,Bombing/Explosion,Government (General),Explosives,0,0,0,0,Extreme Left Wing
197003210002,1970,3,21,New York,New York City,Puerto Rican Resistance Movement,0,1,1,0,Facility/Infrastructure Attack,Business,Incendiary,0,1,0,0,Ethnonationalist-Separatist
197003210003,1970,3,21,New York,New York City,Puerto Rican Resistance Movement,0,1,1,0,Facility/Infrastructure Attack,Business,Incendiary,1,1,0,0,Ethnonationalist-Separatist
197003220001,1970,3,22,New York,New York City,Black Panthers,0,0,1,0,Bombing/Explosion,Business,Explosives,0,1,0,0,Extreme Left Wing
197003220002,1970,3,22,New York,New York City,Black Panthers,0,0,0,0,Bombing/Explosion,Business,Explosives,0,0,0,0,Extreme Left Wing
197003220003,1970,3,22,New York,New York City,Black Panthers,0,0,1,0,Bombing/Explosion,Business,Explosives,1,1,0,0,Extreme Left Wing
197003230001,1970,3,23,Florida,Orlando,Strikers,0,0,1,0,Bombing/Explosion,Private Citizens & Property,Explosives,0,1,0,0,Single Issue
197003240005,1970,3,24,Ohio,Cleveland,White supremacists/nationalists,0,0,1,0,Bombing/Explosion,Private Citizens & Property,Explosives,0,1,0,0,Extreme Right Wing
197003240006,1970,3,24,California,Richmond,Black Nationalists,0,0,1,0,Bombing/Explosion,Police,Explosives,0,1,0,0,Extreme Left Wing
197003270001,1970,3,27,California,San Francisco,Black Nationalists,0,0,1,0,Bombing/Explosion,Police,Explosives,0,1,0,0,Extreme Left Wing
197003300001,1970,3,30,Illinois,Biggsville,Left-Wing Militants,0,0,1,0,Facility/Infrastructure Attack,Government (General),Incendiary,0,1,0,0,Extreme Left Wing
197003300002,1970,3,30,Georgia,Fort Benning,Left-Wing Militants,0,0,1,0,Facility/Infrastructure Attack,Military,Incendiary,0,0,0,0,Extreme Left Wing
197003310003,1970,3,31,District of Columbia,Washington,Left-Wing Militants,0,0,0,0,Bombing/Explosion,Government (General),Explosives,0,0,0,0,Extreme Left Wing
197003310004,1970,3,31,Washington,Seattle,Student Radicals,0,0,1,0,Bombing/Explosion,Educational Institution,Explosives,0,1,0,0,Extreme Left Wing
197004010001,1970,4,1,Michigan,East Lansing,Student Radicals,0,0,1,0,Bombing/Explosion,Educational Institution,Explosives,0,1,0,0,Extreme Left Wing
197004010002,1970,4,1,New York,Ithaca,White supremacists/nationalists,0,0,1,0,Facility/Infrastructure Attack,Educational Institution,Incendiary,0,1,0,0,Extreme Right Wing
197004010003,1970,4,1,Texas,Houston,Student Radicals,0,0,1,0,Facility/Infrastructure Attack,Military,Incendiary,0,1,0,0,Extreme Left Wing
197004020002,1970,4,2,New York,New York City,Left-Wing Militants,0,0,0,0,Bombing/Explosion,Business,Explosives,0,0,0,0,Extreme Left Wing
197004040001,1970,4,4,New York,New York City,Left-Wing Militants,0,0,0,0,Bombing/Explosion,Business,Explosives,0,0,0,0,Extreme Left Wing
197004040002,1970,4,4,New York,New York City,Left-Wing Militants,0,0,0,0,Bombing/Explosion,Private Citizens & Property,Explosives,0,0,0,0,Extreme Left Wing
197004040003,1970,4,4,Washington,Pullman,Student Radicals,0,0,1,0,Facility/Infrastructure Attack,Educational Institution,Incendiary,0,1,0,0,Extreme Left Wing
197004050004,1970,4,5,California,Trona,Strikers,0,0,1,0,Bombing/Explosion,Utilities,Explosives,0,1,0,0,Single Issue
197004050005,1970,4,5,California,Trona,Strikers,0,0,1,0,Facility/Infrastructure Attack,Business,Incendiary,0,1,0,0,Single Issue
197004050007,1970,4,5,Texas,Houston,Student Radicals,0,0,1,0,Facility/Infrastructure Attack,Educational Institution,Incendiary,0,1,0,0,Extreme Left Wing
197004080002,1970,4,8,Kansas,Baxter Springs,Strikers,0,0,1,0,Bombing/Explosion,Private Citizens & Property,Explosives,0,1,0,0,Single Issue
197004080003,1970,4,8,California,Los Angeles,Chicano Liberation Front,0,1,1,0,Facility/Infrastructure Attack,Educational Institution,Incendiary,0,1,0,0,Ethnonationalist-Separatist
197004110001,1970,4,11,California,San Diego,Left-Wing Militants,0,0,1,0,Bombing/Explosion,Military,Explosives,0,1,0,0,Extreme Left Wing
197004110002,1970,4,11,New York,Ithaca,Student Radicals,0,0,1,0,Facility/Infrastructure Attack,Educational Institution,Incendiary,0,1,0,0,Extreme Left Wing
197004130001,1970,4,13,California,Berkeley,New World Liberation Front (NWLF),0,0,1,0,Bombing/Explosion,Utilities,Explosives,0,1,0,0,Extreme Left Wing
197004140002,1970,4,14,California,Trona,Strikers,0,0,1,0,Bombing/Explosion,Business,Explosives,0,1,0,0,Single Issue
197004140003,1970,4,14,California,Long Beach,Student Radicals,0,0,0,0,Bombing/Explosion,Educational Institution,Explosives,0,0,0,0,Extreme Left Wing
197004150002,1970,4,15,California,Los Angeles,Cuban Exiles,0,0,1,0,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,0,1,0,0,Single Issue
197004150004,1970,4,15,California,Los Angeles,Chicano Liberation Front,0,1,1,0,Facility/Infrastructure Attack,Educational Institution,Incendiary,0,1,0,0,Ethnonationalist-Separatist
197004150005,1970,4,15,California,Los Angeles,Chicano Liberation Front,0,1,1,0,Facility/Infrastructure Attack,Educational Institution,Incendiary,0,1,0,0,Ethnonationalist-Separatist
197004160004,1970,4,16,California,Trona,Strikers,0,0,1,0,Bombing/Explosion,Business,Explosives,0,1,0,0,Single Issue
197004170001,1970,4,17,California,Oakland,Black Panthers,0,0,1,0,Armed Assault,Police,Firearms,1,1,0,0,Extreme Left Wing
197004190001,1970,4,19,Washington,Seattle,White supremacists/nationalists,0,0,1,0,Bombing/Explosion,Religious Figures/Institutions,Explosives,0,1,0,0,Extreme Right Wing
197004190002,1970,4,19,Washington,Seattle,White supremacists/nationalists,0,0,1,0,Bombing/Explosion,Business,Explosives,0,1,0,0,Extreme Right Wing
197004190003,1970,4,19,Washington,Seattle,White supremacists/nationalists,0,0,1,0,Bombing/Explosion,Business,Explosives,0,1,0,0,Extreme Right Wing
197004190004,1970,4,19,Washington,Seattle,White supremacists/nationalists,0,0,1,0,Bombing/Explosion,Government (General),Explosives,0,1,0,0,Extreme Right Wing
197004190005,1970,4,19,New York,New York City,Black Nationalists,0,0,0,0,Bombing/Explosion,Police,Explosives,1,0,0,0,Extreme Left Wing
197004200001,1970,4,20,Kansas,Lawrence,Student Radicals,0,0,1,0,Facility/Infrastructure Attack,Educational Institution,Incendiary,1,1,0,0,Extreme Left Wing
197004210002,1970,4,21,California,Los Angeles,Left-Wing Militants,0,0,1,0,Facility/Infrastructure Attack,Business,Incendiary,0,1,0,0,Extreme Left Wing
197004220001,1970,4,22,California,Trona,Strikers,0,0,1,0,Bombing/Explosion,Business,Explosives,0,1,0,0,Single Issue
197004220002,1970,4,22,California,Berkeley,Student Radicals,0,0,1,0,Facility/Infrastructure Attack,Educational Institution,Incendiary,0,1,0,0,Extreme Left Wing
197004220003,1970,4,22,California,Berkeley,Student Radicals,0,0,0,0,Facility/Infrastructure Attack,Educational Institution,Incendiary,0,0,0,0,Extreme Left Wing
197004220004,1970,4,22,Wisconsin,Milwaukee,Student Radicals,0,0,1,0,Facility/Infrastructure Attack,Government (General),Incendiary,0,1,0,0,Extreme Left Wing
197004220005,1970,4,22,Illinois,Champaign,Student Radicals,0,0,0,0,Facility/Infrastructure Attack,Police,Incendiary,0,0,0,0,Extreme Left Wing
197004220006,1970,4,22,California,Redlands,Left-Wing Militants,0,0,1,0,Facility/Infrastructure Attack,Educational Institution,Incendiary,0,1,0,0,Extreme Left Wing
197004230001,1970,4,23,Puerto Rico,Aguada,Armed Commandos of Liberation,0,1,0,0,Bombing/Explosion,Military,Explosives,0,1,0,0,Ethnonationalist-Separatist
197004230002,1970,4,23,Puerto Rico,Aguada,Armed Commandos of Liberation,0,1,0,0,Bombing/Explosion,Telecommunication,Explosives,0,1,0,0,Ethnonationalist-Separatist
197004230003,1970,4,23,Puerto Rico,Aguada,Armed Commandos of Liberation,0,1,0,0,Bombing/Explosion,Telecommunication,Explosives,0,0,0,0,Ethnonationalist-Separatist
197004230004,1970,4,23,Puerto Rico,Aguada,Armed Commandos of Liberation,0,1,0,0,Bombing/Explosion,Police,Explosives,0,0,0,0,Ethnonationalist-Separatist
197004240001,1970,4,24,California,Palo Alto,Student Radicals,0,0,1,0,Facility/Infrastructure Attack,Educational Institution,Incendiary,0,1,0,0,Extreme Left Wing
197004240002,1970,4,24,Maryland,Baltimore,Black Panthers,0,0,1,0,Armed Assault,Police,Firearms,1,0,0,0,Extreme Left Wing
197004240003,1970,4,24,New York,New York City,Left-Wing Militants,0,0,1,0,Bombing/Explosion,Military,Explosives,0,1,0,0,Extreme Left Wing
197004240004,1970,4,24,New York,New York City,The World United Formosans for Independence (WUFI),0,1,0,0,Assassination,Government (Diplomatic),Firearms,0,1,0,0,Ethnonationalist-Separatist
197004250003,1970,4,25,Pennsylvania,Philadelphia,Left-Wing Militants,0,0,1,0,Facility/Infrastructure Attack,Educational Institution,Incendiary,0,0,0,0,Extreme Left Wing
197004250004,1970,4,25,Michigan,East Lansing,Left-Wing Militants,0,0,1,0,Bombing/Explosion,Business,Explosives,0,1,0,0,Extreme Left Wing
197004250005,1970,4,25,Michigan,East Lansing,Left-Wing Militants,0,0,1,0,Bombing/Explosion,Business,Explosives,0,1,0,0,Extreme Left Wing
197004250006,1970,4,25,Michigan,East Lansing,Left-Wing Militants,0,0,1,0,Bombing/Explosion,Business,Explosives,0,1,0,0,Extreme Left Wing
197004260001,1970,4,26,Louisiana,Baton Rouge,Black Nationalists,0,0,1,0,Bombing/Explosion,Government (General),Explosives,0,1,0,0,Extreme Left Wing
197004260002,1970,4,26,Louisiana,Baton Rouge,Black Nationalists,0,0,1,0,Bombing/Explosion,Food or Water Supply,Explosives,0,1,0,0,Extreme Left Wing
197004260003,1970,4,26,Minnesota,Robbinsdale,Left-Wing Militants,0,0,1,0,Bombing/Explosion,Government (General),Explosives,0,0,0,0,Extreme Left Wing
197004270001,1970,4,27,Iowa,Iowa City,Black Nationalists,0,0,1,0,Bombing/Explosion,Business,Explosives,1,1,0,0,Extreme Left Wing
197004270002,1970,4,27,Connecticut,New Haven,Student Radicals,0,0,1,0,Facility/Infrastructure Attack,Educational Institution,Incendiary,0,1,0,0,Extreme Left Wing
197004270003,1970,4,27,Illinois,Evanston,Student Radicals,0,0,1,0,Facility/Infrastructure Attack,Educational Institution,Incendiary,0,1,0,0,Extreme Left Wing
197004270004,1970,4,27,California,Fullerton,Student Radicals,0,0,0,0,Bombing/Explosion,Educational Institution,Explosives,0,0,0,0,Extreme Left Wing
197004270005,1970,4,27,Iowa,Ames,Left-Wing Militants,0,0,0,0,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,0,0,0,0,Extreme Left Wing
197004290001,1970,4,29,New York,New York City,Black Nationalists,0,0,0,0,Bombing/Explosion,Police,Explosives,0,0,0,0,Extreme Left Wing
197004300001,1970,4,30,Louisiana,Baton Rouge,Black Nationalists,0,0,0,0,Bombing/Explosion,Business,Explosives,0,0,0,0,Extreme Left Wing
197005000001,1970,5,0,Massachusetts,Boston,Black Nationalists,0,0,1,0,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,0,1,0,0,Extreme Left Wing
197005000002,1970,5,0,Puerto Rico,Rio Piedras,Puerto Rican Nationalists,0,0,1,0,Bombing/Explosion,Business,Explosives,1,1,0,0,Ethnonationalist-Separatist
197005010002,1970,5,1,New York,New York City,Left-Wing Militants,0,0,1,0,Facility/Infrastructure Attack,Military,Incendiary,0,1,0,0,Extreme Left Wing
