Event ID#,Year,Month,Day,State,City,LAT,LONG,Summary,Successful,Suicide,Attack Type,Attack Type Text,Target Type,Target Type Text,Target,ORGNAME,Motive,Unaffiliated Individual,Claim,Weapon Type,Weapon Type Text,Weapon Sub-Type,Weapon Sub-Type Text, Number Killed,Number Wounded,Number Attackers Killed,Number Atackers Wounded,Property Damage,Property Damage Extent,Damage Extent Text,Kidnapping,Number Hostages,Ransom Demand,Hostage/Kidnapping Outcome
197001130001,1970,1,13,Washington,Seattle,47.610786,-122.331306,"1/13/1970: Unknown perpetrators firebombed Fuson's Department Store in Seattle, Washington, United States. There were no casualties but the store sustained an estimated $17,000 in damages. Less than a week earlier, the store owner shot and killed an African American male attempting to rob the store.",1,0,7,Facility/Infrastructure Attack,1,Business,"Fuson's Department Store, Seattle Washington",Black Nationalists,Retaliation for the store owner who shot and killed an African American attempting to commit a robbery at his store.,0,0,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197001140001,1970,1,14,Illinois,Champaign,40.116748,-88.23927,"1/14/1970: Suspected Black militants threw two firebombs into the Champaign Police Department in Champaign, Illinois, United States. The building was damaged and one police officer was severely burned.",1,0,7,Facility/Infrastructure Attack,3,Police,Champaign Police Department,Black Nationalists,,0,0,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,0,1,0,0,1,3,Minor (likely < $1 million),0,,0,
197001190002,1970,1,19,Washington,Seattle,47.610786,-122.331306,"1/17/1970: Three African Americans were suspected of detonating a bomb on the Seattle University campus in Seattle, Washington, United States. There were no casualties but the Liberal Arts and Garrand buildings sustained $2,200 in damages.",1,0,3,Bombing/Explosion,8,Educational Institution,"Liberal Arts and Garrand buildings, Seattle University",Black Nationalists,The incident took place during disturbances between the Black Student Union and the university.,0,0,6,Explosives,16,Unknown Explosive Type,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197001190003,1970,1,19,Washington,Seattle,47.610786,-122.331306,"1/17/1970: Silas and Judith Bissell placed an explosive device in the vicinity of the Air Force R.O.T.C. at the University of Washington campus in Seattle, Washington, United States. The device was discovered and subsequently disarmed.",0,0,3,Bombing/Explosion,4,Military,Air Force R.O.T.C. at the University of Washington,Student Radicals,The incident took place during heightened antiwar sentiments in Seattle Washington.,0,0,6,Explosives,16,Unknown Explosive Type,0,0,0,0,0,,,0,,0,
197001190004,1970,1,19,New Jersey,Jersey City,40.717892,-74.067467,"1/19/1970: Unknown perpetrators ignited a fire at the Black Panther Party headquarters in Jersey City, New Jersey, United States. Two hours later shots were fired at the building. There were no casualties but the building sustained minor damages.",1,0,7,Facility/Infrastructure Attack,22,Violent Political Party,Headquarters,White supremacists/nationalists,Intimidate the Black Panther Party.,0,0,8,Incendiary,18,Arson/Fire,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197001220002,1970,1,22,Nebraska,South Sioux City,42.47031,-96.413949,"1/22/1970: Unknown perpetrators detonated an explosive device near a private home in South Sioux City, Nebraska, United States. There were no casualties, however, a sizable hole was left in the house and windows were broken. This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",1,0,3,Bombing/Explosion,14,Private Citizens & Property,,Strikers,The attack occurred during the violent Iowa Beef Packers strike in South Sioux City.,0,0,6,Explosives,28,Dynamite/TNT,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197001250001,1970,1,25,Mississippi,West Point,33.60651,-88.650419,"1/25/1970: Unknown perpetrators burnt down a building that was a meeting spot for African Americans in West Point, Mississippi, United States. There were no injuries or fatalities. The attack occurred amidst widespread disapproval of school desegregation by the White population of West Point.",1,0,7,Facility/Infrastructure Attack,14,Private Citizens & Property,Building used as a meeting place for African Americans.,White supremacists/nationalists,The motive of the attack was to prevent the African American community of West Point Mississippi from organizing.,0,0,8,Incendiary,18,Arson/Fire,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197001250002,1970,1,25,New York,New York City,40.697132,-73.931351,"1/25/1970: Responding to what authorities believe was a fake report to lure police to Manhattan, New York, United States, Patrolmen William Kivlehan and Ralph Bax were shot at from a rooftop by unknown perpetrators after they got out of their car. Officer Kivlehan was shot five times and Officer Bax was shot three times. Both officers survived.",1,0,2,Armed Assault,3,Police,New York Police Officers responding to a call in Harlem,Black Nationalists,To kill police,0,0,5,Firearms,5,Unknown Gun Type,0,2,0,0,1,3,Minor (likely < $1 million),0,,0,
197001260001,1970,1,26,Mississippi,West Point,33.60651,-88.650419,"1/26/1970: Unknown African American assailants, unsatisfied with the courts decision on desegregation, threw a stick of dynamite at the Clay County Courthouse in West Point, Mississippi, United States. There were no injuries or fatalities but the windows of the building were shattered.",1,0,3,Bombing/Explosion,2,Government (General),Clay County Courthouse,Black Nationalists,African American opposition to the school integration plan instituted by the federal government.  The government plan closed two Black schools.,0,0,6,Explosives,28,Dynamite/TNT,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197001260003,1970,1,26,New York,New York City,40.697132,-73.931351,"1/26/1970: Police officer Joseph Blik was on foot patrol in Queens, New York, United States when two people in a car stopped to ask him for directions. The perpetrators in the car immediately fired two shots at Officer Blik and then drove away. Officer Blik was not hit.",1,0,2,Armed Assault,3,Police,New York Police Officer on patrol in Forest Hills,Black Nationalists,To kill police,0,0,5,Firearms,5,Unknown Gun Type,0,0,0,0,0,,,0,,0,
197001270002,1970,1,27,Ohio,Norwalk,41.241996,-82.615241,"1/27/1970: Unknown perpetrators broke into the Selective Service Offices located at the Citizens Bank Building in Norwalk, Ohio, United States. The perpetrators took out the draft records and set them on fire. The attack caused an estimated $8,800 in damages.",1,0,7,Facility/Infrastructure Attack,2,Government (General),Selective Service office in Norwalk Ohio,Left-Wing Militants,Protest and sabotage the draft,0,0,8,Incendiary,18,Arson/Fire,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197001280002,1970,1,28,Washington,Seattle,47.610786,-122.331306,"1/28/1970: Unknown perpetrators detonated an explosive device at Temple De Hirsch in Seattle, Washington, United States. There were no casualties but the building sustained $1,000 in damages. During this time period, there were numerous bombings in the Seattle area.",1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,Temple De Hirsch,White supremacists/nationalists,,0,0,6,Explosives,16,Unknown Explosive Type,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197001300001,1970,1,30,Nebraska,South Sioux City,42.479999,-96.413046,"1/30/1970: In a series of two incidents that were possibly related, unknown perpetrators detonated an explosive device at a building in South Sioux City, Nebraska, United States. There were no casualties but the blast damaged the foundation of the building. This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",1,0,3,Bombing/Explosion,20,Unknown,,Strikers,The attack occurred during the violent Iowa Beef Packers strike in South Sioux City.,0,0,6,Explosives,28,Dynamite/TNT,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197001300002,1970,1,30,Nebraska,South Sioux City,42.46634,-96.41405,"1/30/1970: In a series of two incidents that were possibly related, unknown perpetrators detonated an explosive device at the A & B Boat Shop in South Sioux City, Nebraska, United States. There were no casualties but the blast caused $2,500 in damages. This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",1,0,3,Bombing/Explosion,1,Business,A & B Boat Shop,Strikers,The attack occurred during the violent Iowa Beef Packers strike in South Sioux City.,0,0,6,Explosives,28,Dynamite/TNT,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197001300003,1970,1,30,Florida,Coral Gables,25.720851,-80.277857,"1/20/1970: Unknown perpetrators firebombed the premises of the Army R.O.T.C. at the University of Miami in Coral Gables, Florida, United States. There were no casualties but an Army personal carrier was damaged. Two firebombs did not explode.",1,0,7,Facility/Infrastructure Attack,4,Military,"Army R.O.T.C., University of Miami",Student Radicals,To protest the R.O.T.C. program and the War in Vietnam,0,0,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197001310002,1970,1,31,Colorado,Denver,39.758968,-104.876305,"1/31/1970: Unknown perpetrators bombed the Police Band Building in Denver, Colorado, United States. There were no casualties but a restroom was damaged.",1,0,3,Bombing/Explosion,3,Police,"Police Band Building, Denver Colorado",Unknown,,0,0,6,Explosives,28,Dynamite/TNT,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197002010001,1970,2,1,Oregon,Portland,45.511795,-122.675629,"2/1/1970: An unknown perpetrator broke into the Northeast Oregon building in Portland, Oregon, United States, which housed a Selective Service office and set fire to draft records. About two hundred and fifty files were destroyed causing $4,189 in damage.",1,0,7,Facility/Infrastructure Attack,2,Government (General),Selective Service office Local Board No. 28 in Portland Oregon,Left-Wing Militants,Protest and sabotage the draft,0,0,8,Incendiary,20,Gasoline or Alcohol,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197002010002,1970,2,1,Illinois,Cairo,37.005105,-89.176269,"2/1/1970: Unknown perpetrators fired shots at an Illinois State Police Car that was patrolling the all-Black Pyramid Courts housing development in Cairo, Illinois, United States. Three bullets struck the police car of Officers Harold Nelson and John Abercrombie. Neither officer was injured but the windshield of vehicle car was shattered.",1,0,2,Armed Assault,3,Police,Illinois State Police in the Pyramid Courts housing project,Black Nationalists,To protest police presence in Pyramid Courts,0,0,5,Firearms,4,Rifle/Shotgun (non-automatic),0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197002020001,1970,2,2,New York,New York City,40.697132,-73.931351,"2/2/1970: An incendiary device was discovered at Mays department store in Manhattan, New York, United States. The device was dismantled before it inflicted any damage. The next day, two incendiary devices were discovered at other department stores in New York City.",0,0,7,Facility/Infrastructure Attack,1,Business,Mays Department Store in Manhattan,Unknown,,0,0,8,Incendiary,20,Gasoline or Alcohol,0,0,0,0,0,,,0,,0,
197002030001,1970,2,3,New York,New York City,40.697132,-73.931351,"2/3/1970: In a series of related attacks, an incendiary device was discovered and dismantled at Alexander's Department Store in the Bronx, New York, United States.",0,0,7,Facility/Infrastructure Attack,1,Business,Alexander's Department Store in the Bronx,Unknown,,0,0,8,Incendiary,20,Gasoline or Alcohol,0,0,0,0,0,,,0,,0,
197002030002,1970,2,3,New York,New York City,40.697132,-73.931351,"2/3/1970: In a series of related attacks, an incendiary device was ignited at Alexander's Department Store in Manhattan, New York, United States. The device was immediately doused with water and did not cause any damage.",0,0,7,Facility/Infrastructure Attack,1,Business,Alexander's Department Store in Manhattan,Unknown,,0,0,8,Incendiary,20,Gasoline or Alcohol,0,0,0,0,0,,,0,,0,
197002040001,1970,2,4,Ohio,Akron,41.084195,-81.514059,"2/4/1970: In an attack suspected of being connected with the Iowa Beef Packer's Strike, a dynamite bomb exploded near a parked car in Akron, Ohio, United States. There were no casualties and the car sustained only minor damages.",1,0,3,Bombing/Explosion,14,Private Citizens & Property,,Strikers,The attack occurred during the violent Iowa Beef Packers strike.,0,0,6,Explosives,28,Dynamite/TNT,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197002060001,1970,2,6,Colorado,Denver,39.758968,-104.876305,"2/6/1970: Unknown anti-desegregationists detonated at least twelve dynamite bombs damaging thirty-nine vehicles, most of them school buses, in Denver, Colorado, United States. There were no casualties.",1,0,3,Bombing/Explosion,19,Transportation,Denver City School Buses,Black Nationalists,Sabotage/protest the integration of Denver City Schools.,0,0,6,Explosives,28,Dynamite/TNT,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197002060002,1970,2,6,Washington,Seattle,47.610786,-122.331306,"2/6/1970: Suspected White Racists detonated a bomb at the house of State Senator Fred Dore in Seattle, Washington, United States. There were no casualties, but the house sustained major damages. Dore was a White sympathizer of African American causes.",1,0,3,Bombing/Explosion,2,Government (General),Fred Dore,White supremacists/nationalists,To intimidate/show dissatisfaction with White sympathizers of the African American cause.,0,0,6,Explosives,28,Dynamite/TNT,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197002060003,1970,2,6,Washington,Seattle,47.610786,-122.331306,"2/6/1970: Unknown perpetrators detonated a bomb at a synagogue in Seattle, Washington, United States. There were no casualties but the building as well as surrounding residences sustained minor damage. During this time period, there were numerous bombings in the Seattle area.",1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,,White supremacists/nationalists,,0,0,6,Explosives,28,Dynamite/TNT,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197002060004,1970,2,6,Puerto Rico,Dorado,18.460791,-66.264884,"2/6/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for igniting firebombs at a Selective Service office in Dorado, Puerto Rico. There were no casualties and it is unknown if the firebombs caused any damage.",1,0,7,Facility/Infrastructure Attack,2,Government (General),Selective Service office in Dorado Puerto Rico,Armed Revolutionary Independence Movement (MIRA),To fight imperialism and exploitation.,0,1,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,0,0,0,0,-9,4,Unknown,0,,0,
197002060005,1970,2,6,Puerto Rico,Rio Piedras,18.386932,-66.061127,"2/6/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for igniting firebombs at a General Electric facility in Rio Piedras, Puerto Rico. There were no casualties and it is unknown if the firebombs caused any damage.",1,0,7,Facility/Infrastructure Attack,21,Utilities,,Armed Revolutionary Independence Movement (MIRA),To fight imperialism and exploitation.,0,1,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,0,0,0,0,-9,4,Unknown,0,,0,
197002060006,1970,2,6,Puerto Rico,Carolina,18.441963,-66.026316,"2/6/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for igniting firebombs at Hotel San Juan in Carolina, Puerto Rico. There were no casualties and it is unknown if the firebombs caused any damage.",1,0,7,Facility/Infrastructure Attack,1,Business,San Juan Hotel,Armed Revolutionary Independence Movement (MIRA),To fight imperialism and exploitation.,0,1,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,0,0,0,0,-9,4,Unknown,0,,0,
197002060007,1970,2,6,Massachusetts,Boston,42.3505,-71.105399,"2/6/1970: Unknown perpetrators firebombed an R.O.T.C. office at Boston University in Boston, Massachusetts, United States. There were no casualties but the resulting fire damaged the office.",1,0,7,Facility/Infrastructure Attack,4,Military,"R.O.T.C. office, Boston University",Student Radicals,To protest the R.O.T.C. program,0,0,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197002070003,1970,2,7,Wisconsin,Whitewater,42.838355,-88.743224,"2/7/1970: Unknown perpetrators set a fire in Old Mail Hall at Wisconsin State College in Whitewater, Wisconsin, United States. There were no casualties but the building sustained an estimated $1,000,000 in damages.",1,0,7,Facility/Infrastructure Attack,8,Educational Institution,"Old Mail Hall, Wisconsin State College",Student Radicals,,0,0,8,Incendiary,18,Arson/Fire,0,0,0,0,1,2,Major (likely >= $1 million but < $1 billion),0,,0,
197002080001,1970,2,8,New York,New York City,40.697132,-73.931351,"2/8/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for bombing the General Electric Service Center in Queens, New York, United States. There were no casualties but the building sustains minor damages.",1,0,3,Bombing/Explosion,1,Business,Queens General Electric Service Center,Armed Revolutionary Independence Movement (MIRA),To fight imperialism and exploitation.,0,1,6,Explosives,16,Unknown Explosive Type,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197002080002,1970,2,8,New York,New York City,40.697132,-73.931351,"2/8/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for bombing the General Electric Service Center in Brooklyn, New York, United States. There are no casualties but the building sustains minor damages.",1,0,3,Bombing/Explosion,1,Business,Brooklyn General Electric Service Center,Armed Revolutionary Independence Movement (MIRA),To fight imperialism and exploitation.,0,1,6,Explosives,31,Pipe Bomb,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197002090003,1970,2,9,New York,New York City,40.697132,-73.931351,"2/9/1970: In a series of related events, a member of the Armed Revolutionary Independence Movement (MIRA) was suspected of placing a bomb at the General Electric Headquarters in Manhattan, New York, United States. The bomb was discovered and subsequently removed.",0,0,3,Bombing/Explosion,1,Business,General Electric Headquarters,Armed Revolutionary Independence Movement (MIRA),To fight imperialism and exploitation.,0,1,6,Explosives,31,Pipe Bomb,0,0,0,0,0,,,0,,0,
197002090004,1970,2,9,Ohio,Batavia,39.07859,-84.179414,"2/9/1970: Unknown perpetrators in Batavia, Ohio, United States, bombed two cars belonging to Leslie Jewel, an employee of General Electric that was not part of the union. The automobiles were damaged, but there were no casualties. There had been a recent labor strike at the nearby General Electric Evendale plant.",1,0,3,Bombing/Explosion,14,Private Citizens & Property,Leslie Jewel,Strikers,Protest employees of General Electric who were not union members,0,0,6,Explosives,28,Dynamite/TNT,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197002110001,1970,2,11,Michigan,Ypsilanti,42.263414,-83.665281,"2/11/1970: Unknown perpetrators threw a firebomb into a building at Washtenaw Community College in Ypsilanti, Michigan, United States. There were no casualties, but the buildings sustained an estimated $2,500 in damages.",1,0,7,Facility/Infrastructure Attack,8,Educational Institution,,Student Radicals,,0,0,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197002130001,1970,2,13,California,Berkeley,37.874043,-122.280022,,1,0,3,Bombing/Explosion,3,Police,Police parking lot,Unknown,,0,,6,Explosives,16,Unknown Explosive Type,0,7,,,1,3,Minor (likely < $1 million),0,,0,
197002130003,1970,2,13,California,Berkeley,37.874043,-122.280022,"2/13/1970: Unknown perpetrators detonated two dynamite bombs in the parking lot of the Berkeley Police Station in California, United States, during a shift change. Seven police officers were injured, three cars were destroyed, and windows were shattered at nearby buildings.",1,0,3,Bombing/Explosion,3,Police,Berkeley Police Station,Black Nationalists,To intimidate the police.,0,0,6,Explosives,28,Dynamite/TNT,0,7,0,0,1,3,Minor (likely < $1 million),0,,0,
197002150001,1970,2,15,New York,New York City,40.697132,-73.931351,"7/15/1970: Unknown perpetrators bombed the Chase Manhattan Bank in Manhattan, New York, United States. There were no casualties, however, the glass doors of the building and windows were shattered.",1,0,3,Bombing/Explosion,1,Business,"Chase Manhattan Bank, East Village Branch",Left-Wing Militants,,0,0,6,Explosives,16,Unknown Explosive Type,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197002150002,1970,2,15,Oregon,Eugene,44.04483,-123.072606,"2/15/1970: Unknown perpetrators set fire to a building housing an R.O.T.C. storage area at the University of Oregon in Eugene, Oregon, United States. One fireman was injured fighting the blaze and the men's physical education building sustained an estimated $350,000 in damages. The incident took place a week after the university voted to retain the R.O.T.C. program.",1,0,7,Facility/Infrastructure Attack,4,Military,"R.O.T.C. storage area, University of Oregon",Student Radicals,To protest the University of Oregon's decision to retain the R.O.T.C. program,0,0,8,Incendiary,18,Arson/Fire,0,1,0,0,1,3,Minor (likely < $1 million),0,,0,
197002160001,1970,2,16,California,San Francisco,37.755363,-122.443352,,1,0,3,Bombing/Explosion,3,Police,police station,Unknown,,0,,6,Explosives,16,Unknown Explosive Type,1,0,,,1,3,Minor (likely < $1 million),0,,0,
197002160002,1970,2,16,California,Berkeley,37.874043,-122.280022,,1,0,3,Bombing/Explosion,1,Business,department store,Unknown,,0,,6,Explosives,16,Unknown Explosive Type,0,0,,,0,3,Minor (likely < $1 million),0,,0,
197002160003,1970,2,16,California,Berkeley,37.874043,-122.280022,,1,0,3,Bombing/Explosion,1,Business,department store,Unknown,,0,,6,Explosives,16,Unknown Explosive Type,0,0,,,0,3,Minor (likely < $1 million),0,,0,
197002160004,1970,2,16,California,San Francisco,37.755363,-122.443352,"2/16/1970: Four hours after a San Francisco Police Station was bombed in California, United States, a sniper took aim at three police officers. However, police fired at the sniper before he could get a shot off. The sniper and a companion fled the scene before being apprehended.",0,0,2,Armed Assault,3,Police,San Francisco Police Officers,Left-Wing Militants,To intimidate the police.,0,0,5,Firearms,4,Rifle/Shotgun (non-automatic),0,0,0,0,0,,,0,,0,
197002170001,1970,2,17,California,Oakland,37.791927,-122.225906,"2/17/1970: A day after bombings in San Francisco and Berkeley, twenty-four sticks of dynamite were discovered at Walter Boysen Paint Company in Oakland, California, United States. The bombs never detonated.",0,0,3,Bombing/Explosion,1,Business,Walter Boysen Paint Company,Unknown,,0,0,6,Explosives,28,Dynamite/TNT,0,0,0,0,0,,,0,,0,
197002170002,1970,2,17,Maryland,Buckeystown,39.334825,-77.431653,"2/17/1970: Unknown perpetrators bombed a power pole in Buckeystown, Maryland, United States. There were no casualties, however, as a result of the bombing, five-hundred homes and two industrial facilities lost power. Windows were also shattered in buildings a quarter of a mile a way.",1,0,3,Bombing/Explosion,21,Utilities,Power supply of the Frederick Maryland area,Unknown,,0,0,6,Explosives,28,Dynamite/TNT,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197002170003,1970,2,17,Louisiana,Covington,30.493919,-90.132512,"2/17/1970: Unknown perpetrators detonated a bomb at Covington High School in Louisiana, United States. There were no casualties but the building sustained minor damages. The bombing took place six months before the school was integrated.",1,0,3,Bombing/Explosion,8,Educational Institution,Covington High School,White supremacists/nationalists,Suspected motive was to protest school integration.,0,0,6,Explosives,16,Unknown Explosive Type,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197002170004,1970,2,17,Washington,Seattle,47.610786,-122.331306,"2/17/1970: Unknown perpetrators placed a gasoline bomb underneath the Armory at the University of Washington in Seattle, United States. The bomb did not explode and was later discovered and removed.",0,0,3,Bombing/Explosion,4,Military,"Armory, University of Washington",Student Radicals,Protest the War in Vietnam,0,0,6,Explosives,16,Unknown Explosive Type,0,0,0,0,0,,,0,,0,
197002180002,1970,2,18,Ohio,Cleveland,41.479561,-81.675461,"2/18/1970: Amidst a period racial strife at Cuyahoga Community College in Cleveland, Ohio, United States, unknown perpetrators detonated a bomb that damaged a car of a police officer working as a security guard.",1,0,3,Bombing/Explosion,3,Police,,Black Nationalists,,0,0,6,Explosives,31,Pipe Bomb,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197002180003,1970,2,18,California,Vallejo,38.10083,-122.254954,"2/18/1970: Booby trapped handgrenades were discovered wired to a car in the parking lot of the Vallejo Police Department in California, United States. The device was deactivated.",1,0,3,Bombing/Explosion,3,Police,,Black Nationalists,,0,0,6,Explosives,15,Vehicle,0,0,0,0,0,,,0,,0,
